"genes" "astrocyte"
"Pld4" 0.54820463236852
"Oaz1" 665.453340018238
"Ppp1ca" 519.781240520781
"Olig1" 1196.11006307313
"Sat1" 152.253090281473
"Tppp3" 1193.15980005157
"Gpx4" 901.262502408441
"Atox1" 536.925947314782
"Cnbp" 672.35533323486
"Calm1" 935.631342425309
"Mobp" 1205.29312193879
"Rsrp1" 615.602236746496
"Hspa5" 395.107249329235
"Olfml3" 4.28163751850544
"Selenok" 816.011295827626
"Atp6v0b" 437.277760062273
"Taldo1" 934.23061848765
"Arhgdia" 505.518634655185
"Vsir" 8.37558839601145
"Lpcat2" 6.34790619340235
"Hint1" 864.459142460765
"S100a16" 1186.46938240134
"Atp5b" 811.986655375902
"Atf3" 21.712400838461
"Sgk1" 131.08807345156
"Rpl36" 572.340641460652
"Gm15427" 380.89848603497
"Rnaset2a" 68.6611541577122
"Usmg5" 756.95070038129
"Slc2a5" 0.463278449874048
"Ndufc2" 700.926193001923
"Myl12b" 566.558622305494
"Rpl41" 539.338924189628
"Fkbp2" 468.067263713566
"Cd63" 594.718972999603
"Psmb2" 625.842809683674
"Dynlrb1" 673.785005950914
"Hsbp1" 648.558866323282
"Akr1a1" 479.195849587908
"Dusp1" 185.345163571934
"Clic1" 91.0381887225934
"Evi2a" 549.595203554543
"Ppp1r14a" 1064.56175988174
"Coro1a" 2.8969455502203
"Atp6v1f" 473.441585874783
"Gltp" 816.619126355626
"Hist1h2bc" 573.368620496737
"Chchd2" 722.66160441012
"Cstb" 533.14273918489
"Ifngr1" 48.923679107074
"BC031181" 666.803015349532
"Tmem176b" 148.687050787073
"Snx3" 686.843107674455
"Cd83" 8.61938168690737
"Ermn" 951.177571498055
"Atp6ap1" 440.466514651611
"Ndufa6" 642.691602766062
"Tcn2" 132.87248353436
"Ndrg2" 925.895241034359
"Cd14" 3.13907568441589
"Hsp90b1" 322.821855709125
"Gm13394" 570.084521153529
"Tmem173" 4.93072103986602
"Saraf" 458.342622575617
"Ypel3" 423.371366487679
"D8Ertd738e" 556.444362195502
"Arhgdib" 52.1438193140174
"Srp14" 603.039599834857
"H2-D1" 185.448115087265
"Sirpa" 50.3700343823233
"Rps11" 353.911516374588
"F11r" 29.9072179995848
"Id2" 453.646560990747
"Cyth4" 1.71866967065284
"Psma6" 518.986846598877
"Cldn5" 1093.72176903208
"2810468N07Rik" 898.781487728864
"Rpl8" 439.914636388432
"Phgdh" 718.655415931598
"Fau" 403.168492737995
"Ndufs5" 712.267598955851
"Fez1" 923.225805289991
"Cuta" 472.027370119802
"Atp5c1" 541.017649102447
"Ctsl" 155.118337545816
"Ier3" 116.397638080848
"Hspa1b" 152.449913850905
"Marcks" 50.6694797992533
"Rps14" 415.794279316097
"Dynlt1-ps1" 412.862081471396
"Rhob" 239.0522053523
"Scamp2" 83.7082454064005
"Cst7" 0.365594237366593
"Ndufb11" 633.912944936918
"Ndufs8" 452.102324424432
"Selenow" 808.67864146702
"Vapa" 412.822907619277
"Gm23935" 641.077635714641
"Qk" 631.740534969118
"Mafb" 3.54112827313923
"Creg1" 105.194900822409
"Lst1" 1.46035770072323
"Ctsh" 34.676219742934
"Rab2a" 532.61311057664
"Rpl19" 409.03612275368
"Cers2" 685.884573265799
"Grina" 504.261172768289
"Slc1a3" 457.169146674556
"Fam105a" 3.03432762942622
"Slc25a4" 734.308313573032
"Skp1a" 603.325490504849
"Rps15" 430.734341837072
"Selenos" 411.303198377299
"Rpl32" 283.209755976565
"Tnfaip8l2" 0.535512900215824
"Basp1" 19.9474259649579
"Gm13835" 430.702455643185
"Cd74" 5.40776759328357
"Lamtor5" 461.052631981971
"Ptgs1" 9.84268536211472
"Smdt1" 609.257742819543
"Cox14" 524.825852198227
"Arl6ip1" 390.104168726043
"Gsn" 821.89471983364
"Rbx1" 491.135275699413
"Rplp0" 360.347564502133
"Sqstm1" 580.523027350355
"Myl9" 732.406439053752
"Sdf2l1" 125.997125018394
"Cyc1" 526.835890593055
"Cox7a2" 579.550026673472
"Wbp2" 593.597973321967
