# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:31:26
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/j
# Object ID: b206f16e-c573-4787-9437-17d222220cc9
# Object type: Region
# Object creation time: 2023-06-21 11:44:02
#
Spot index;x;y
178777;29749.5625;32928.4609375
179113;29749.5625;32908.4609375
179114;29769.5625;32908.4609375
